player_name,player_position,player_team,year,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Brandon Tate,WR,FA,2010,1,4,5,36,9.0,0,0,0,0.0,0,0.0,5.6,0.0
Eric Weems,WR,FA,2010,1,4,4,36,9.0,0,0,0,0.0,0,0.0,5.6,0.0
Steve Johnson,WR,FA,2010,1,3,5,40,13.3,0,0,0,0.0,0,0.0,5.5,0.0
Lee Evans,WR,FA,2010,1,4,8,34,8.5,0,0,0,0.0,0,0.0,5.4,0.0
Harry Douglas,WR,FA,2010,1,3,3,39,13.0,0,0,0,0.0,0,0.0,5.4,0.0
DeSean Jackson,WR,FA,2010,1,4,11,30,7.5,0,0,0,0.0,0,0.0,5.0,0.0
Chansi Stuckey,WR,FA,2010,1,4,5,30,7.5,0,0,0,0.0,0,0.0,5.0,0.0
Dwayne Jarrett,WR,FA,2010,1,2,4,40,20.0,0,0,0,0.0,0,0.0,5.0,0.0
Robert Meachem,WR,FA,2010,1,3,4,33,11.0,0,0,0,0.0,0,0.0,4.8,0.0
Andre Johnson,WR,FA,2010,1,3,5,33,11.0,0,0,0,0.0,0,0.0,4.8,0.0
Louis Murphy,WR,FA,2010,1,4,7,28,7.0,0,0,0,0.0,0,0.0,4.8,0.0
Early Doucet,WR,FA,2010,1,2,3,37,18.5,0,0,0,0.0,0,0.0,4.7,0.0
Josh Morgan,WR,FA,2010,1,3,5,32,10.7,0,0,0,0.0,0,0.0,4.7,0.0
Sammie Stroughter,WR,FA,2010,1,2,5,32,16.0,0,0,0,0.0,0,0.0,4.2,0.0
Jacoby Jones,WR,FA,2010,1,2,6,29,14.5,0,0,0,0.0,0,0.0,3.9,0.0
Lance Moore,WR,FA,2010,1,3,4,23,7.7,0,0,0,0.0,0,0.0,3.8,0.0
David Nelson,WR,FA,2010,1,3,6,22,7.3,0,0,0,0.0,0,0.0,3.7,0.0
Craig Davis,WR,FA,2010,1,2,4,26,13.0,0,0,0,0.0,0,0.0,3.6,0.0
Josh Cribbs,WR,FA,2010,1,2,2,11,5.5,0,3,11,3.7,0,0.0,3.6,0.0
Roy Williams,WR,FA,2010,1,3,7,21,7.0,0,0,0,0.0,0,0.0,3.6,0.0
Greg Camarillo,WR,FA,2010,1,1,2,29,29.0,0,0,0,0.0,0,0.0,3.4,0.0
Brandon LaFell,WR,FA,2010,1,2,8,22,11.0,0,0,0,0.0,0,0.0,3.2,0.0
T.J. Houshmandzadeh,WR,FA,2010,1,1,4,27,27.0,0,0,0,0.0,0,0.0,3.2,0.0
Derrick Mason,WR,FA,2010,1,2,5,21,10.5,0,0,0,0.0,0,0.0,3.1,0.0
Bryant Johnson,WR,FA,2010,1,1,1,24,24.0,0,0,0,0.0,0,0.0,2.9,0.0
Jerricho Cotchery,WR,FA,2010,1,2,5,18,9.0,0,0,0,0.0,0,0.0,2.8,0.0
Yamon Figurs,WR,FA,2010,1,2,2,17,8.5,0,0,0,0.0,0,0.0,2.7,0.0
Brad Smith,WR,FA,2010,1,0,0,0,0.0,0,2,27,13.5,0,0.0,2.7,0.0
Ted Ginn Jr.,WR,FA,2010,1,1,2,19,19.0,0,0,0,0.0,0,0.0,2.4,0.0
Nate Burleson,WR,FA,2010,1,1,4,19,19.0,0,0,0,0.0,0,0.0,2.4,0.0
Michael Crabtree,WR,FA,2010,1,2,8,12,6.0,0,0,0,0.0,0,0.0,2.2,0.0
Devin Hester,WR,FA,2010,1,1,1,17,17.0,0,0,0,0.0,0,0.0,2.2,0.0
James Jones,WR,FA,2010,1,2,3,10,5.0,0,0,0,0.0,0,0.0,2.0,0.0
Chris Chambers,WR,FA,2010,1,1,4,14,14.0,0,0,0,0.0,0,0.0,1.9,0.0
Max Komar,WR,FA,2010,1,2,3,29,14.5,0,0,0,0.0,0,0.0,1.9,0.0
Percy Harvin,WR,FA,2010,1,1,5,12,12.0,0,1,2,2.0,0,0.0,1.9,0.0
Dwayne Bowe,WR,FA,2010,1,1,5,13,13.0,0,0,0,0.0,0,0.0,1.8,0.0
Antwaan Randle El,WR,FA,2010,1,2,5,8,4.0,0,0,0,0.0,0,0.0,1.8,0.0
Braylon Edwards,WR,FA,2010,1,1,3,9,9.0,0,1,4,4.0,0,0.0,1.8,0.0
Anthony Gonzalez,WR,FA,2010,1,1,3,12,12.0,0,0,0,0.0,0,0.0,1.7,0.0
Greg Lewis,WR,FA,2010,1,1,2,12,12.0,0,0,0,0.0,0,0.0,1.7,0.0
Anthony Armstrong,WR,FA,2010,1,1,5,11,11.0,0,0,0,0.0,0,0.0,1.6,0.0
Darrius Heyward-Bey,WR,FA,2010,1,1,2,11,11.0,0,0,0,0.0,0,0.0,1.6,0.0
Dominique Zeigler,WR,FA,2010,1,1,2,10,10.0,0,0,0,0.0,0,0.0,1.5,0.0
Jordy Nelson,WR,FA,2010,1,1,2,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Ben Obomanu,WR,FA,2010,1,1,1,6,6.0,0,0,0,0.0,0,0.0,1.1,0.0
Brian Robiskie,WR,FA,2010,1,1,4,6,6.0,0,0,0,0.0,0,0.0,1.1,0.0
Bernard Berrian,WR,FA,2010,1,1,3,3,3.0,0,0,0,0.0,0,0.0,0.8,0.0
Johnnie Lee Higgins,WR,FA,2010,1,1,3,2,2.0,0,0,0,0.0,0,0.0,0.7,0.0
Arian Foster,RB,FA,2010,1,1,1,7,7.0,0,33,231,7.0,3,0.0,42.3,0.0
Matt Forte,RB,FA,2010,1,7,7,151,21.6,2,17,50,2.9,0,0.0,33.6,0.0
Chris Johnson,RB,FA,2010,1,4,4,8,2.0,0,27,142,5.3,2,0.0,29.0,0.0
Darren McFadden,RB,FA,2010,1,6,9,55,9.2,1,18,95,5.3,0,0.0,24.0,0.0
Rashard Mendenhall,RB,FA,2010,1,2,2,15,7.5,0,22,120,5.5,1,0.0,20.5,0.0
Legedu Naanee,RB,FA,2010,1,5,8,110,22.0,1,0,0,0.0,0,0.0,19.5,0.0
Jahvid Best,RB,FA,2010,1,5,6,16,3.2,0,14,20,1.4,2,0.0,18.1,0.0
LeSean McCoy,RB,FA,2010,1,5,5,47,9.4,0,7,35,5.0,1,0.0,16.7,0.0
Jamaal Charles,RB,FA,2010,1,1,1,8,8.0,0,11,92,8.4,1,0.0,16.5,0.0
Pierre Thomas,RB,FA,2010,1,3,3,15,5.0,0,19,71,3.7,1,0.0,16.1,0.0
Ronnie Brown,RB,FA,2010,1,2,3,20,10.0,0,13,65,5.0,1,0.0,15.5,0.0
Ahmad Bradshaw,RB,FA,2010,1,2,4,17,8.5,0,20,76,3.8,1,0.0,14.3,0.0
Tim Hightower,RB,FA,2010,1,4,4,40,10.0,0,13,54,4.2,1,0.0,13.4,0.0
Knowshon Moreno,RB,FA,2010,1,1,2,4,4.0,0,15,60,4.0,1,0.0,12.9,0.0
Maurice Jones-Drew,RB,FA,2010,1,3,3,15,5.0,0,23,98,4.3,0,0.0,12.8,0.0
Peyton Hillis,RB,FA,2010,1,4,5,24,6.0,0,9,41,4.6,1,0.0,12.5,0.0
Adrian Peterson,RB,FA,2010,1,3,3,14,4.7,0,19,87,4.6,0,0.0,11.6,0.0
Frank Gore,RB,FA,2010,1,6,7,45,7.5,0,17,38,2.2,0,0.0,11.3,0.0
Cadillac Williams,RB,FA,2010,1,2,2,23,11.5,0,22,75,3.4,0,0.0,10.8,0.0
Steven Jackson,RB,FA,2010,1,4,8,6,1.5,0,22,81,3.7,0,0.0,10.7,0.0
Joseph Addai,RB,FA,2010,1,6,6,29,4.8,0,10,44,4.4,0,0.0,10.3,0.0
