data_source,player_id,player_name,player_position,week,standard_projected_points,half_ppr_projected_points,ppr_projected_points
FantasyPros,,Raheem Mostert,RB,5,11.9,13.2,14.6
FantasyPros,,Puka Nacua,WR,5,9.9,12.9,15.9
FantasyPros,,Calvin Ridley,WR,5,8.5,10.9,13.3
FantasyPros,,Zach Ertz,TE,5,5.4,7.4,9.3
FantasyPros,,Kyle Pitts,TE,5,5.0,6.6,8.1
ESPN,4426515,Puka Nacua,WR,6,,12.67,
ESPN,3925357,Calvin Ridley,WR,6,,11.68,
ESPN,4047365,Josh Jacobs,RB,6,,15.97,
ESPN,2576414,Raheem Mostert,RB,6,,16.72,
ESPN,4360248,Kyle Pitts,TE,6,,7.61,
ESPN,15835,Zach Ertz,TE,6,,7.95,
ESPN,4426515,Puka Nacua,WR,7,,13.03,
ESPN,3925357,Calvin Ridley,WR,7,,11.49,
ESPN,4047365,Josh Jacobs,RB,7,,15.95,
ESPN,2576414,Raheem Mostert,RB,7,,16.7,
ESPN,4360248,Kyle Pitts,TE,7,,7.95,
ESPN,15835,Zach Ertz,TE,7,,5.66,
FantasyPros,,Raheem Mostert,RB,6,15.2,16.7,18.2
FantasyPros,,Josh Jacobs,RB,6,13.5,15.2,17.0
FantasyPros,,Puka Nacua,WR,6,10.8,13.9,16.9
FantasyPros,,Calvin Ridley,WR,6,9.8,12.4,15.0
FantasyPros,,Kyle Pitts,TE,6,5.5,7.1,8.6
FantasyPros,,Zach Ertz,TE,6,5.4,7.3,9.3
FantasyPros,,Josh Jacobs,RB,7,14.4,16.2,18.0
FantasyPros,,Raheem Mostert,RB,7,13.7,15.1,16.6
FantasyPros,,Puka Nacua,WR,7,9.6,12.5,15.4
FantasyPros,,Calvin Ridley,WR,7,8.9,11.4,13.9
FantasyPros,,Kyle Pitts,TE,7,5.7,7.5,9.3
FantasyPros,,Zach Ertz,TE,7,3.9,5.4,6.8
Sleeper,9493,Puka Nacua,WR,6,10.05,13.1,16.15
Sleeper,7553,Kyle Pitts,TE,6,5.64,7.5,9.35
Sleeper,5850,Josh Jacobs,RB,6,13.51,14.81,16.11
Sleeper,4981,Calvin Ridley,WR,6,8.95,11.48,14.02
Sleeper,2749,Raheem Mostert,RB,6,13.74,15.18,16.63
Sleeper,1339,Zach Ertz,TE,6,4.96,6.95,8.93
Sleeper,9493,Puka Nacua,WR,7,8.91,11.73,14.55
Sleeper,7553,Kyle Pitts,TE,7,5.78,7.5,9.23
Sleeper,5850,Josh Jacobs,RB,7,12.09,13.24,14.39
Sleeper,4981,Calvin Ridley,WR,7,8.31,10.57,12.83
Sleeper,2749,Raheem Mostert,RB,7,12.08,13.31,14.55
Sleeper,1339,Zach Ertz,TE,7,4.12,5.82,7.52
