player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
John Metchie III,WR,HOU,11,1,1,12,12.0,0,0,0,0.0,0,0.0,1.7,0.0
Josh Reynolds,WR,DET,11,1,2,11,11.0,0,0,0,0.0,0,0.0,1.6,0.0
Cooper Kupp,WR,LAR,11,1,1,11,11.0,0,0,0,0.0,0,0.0,1.6,0.0
Kyle Philips,WR,TEN,11,1,1,10,10.0,0,0,0,0.0,0,0.0,1.5,0.0
Cedric Tillman,WR,CLE,11,1,2,2,2.0,0,1,8,8.0,0,0.0,1.5,0.0
Julio Jones,WR,PHI,11,2,2,5,2.5,0,0,0,0.0,0,0.0,1.5,0.0
A.J. Brown,WR,PHI,11,1,4,8,8.0,0,0,0,0.0,0,0.0,1.3,0.0
Jake Bobo,WR,SEA,11,1,2,8,8.0,0,0,0,0.0,0,0.0,1.3,0.0
K.J. Osborn,WR,MIN,11,1,2,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Jalin Hyatt,WR,NYG,11,1,2,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Malik Heath,WR,GB,11,1,1,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Nick Westbrook-Ikhine,WR,TEN,11,1,1,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Dyami Brown,WR,WAS,11,1,3,7,7.0,0,0,0,0.0,0,0.0,1.2,0.0
Jonathan Mingo,WR,CAR,11,1,6,6,6.0,0,0,0,0.0,0,0.0,1.1,0.0
Sterling Shepard,WR,NYG,11,1,3,5,5.0,0,0,0,0.0,0,0.0,1.0,0.0
Curtis Samuel,WR,WAS,11,1,2,5,5.0,0,0,0,0.0,0,0.0,1.0,0.0
Kalif Raymond,WR,DET,11,1,2,5,5.0,0,0,0,0.0,0,0.0,1.0,0.0
Skyy Moore,WR,KC,11,1,2,4,4.0,0,0,0,0.0,0,0.0,0.9,0.0
Derius Davis,WR,LAC,11,1,1,-3,-3.0,0,0,0,0.0,0,0.0,0.2,0.0
Saquon Barkley,RB,NYG,11,4,5,57,14.3,2,14,83,5.9,0,0.0,28.0,0.0
Jaylen Warren,RB,PIT,11,3,3,16,5.3,0,9,129,14.3,1,0.0,22.0,0.0
Gus Edwards,RB,BAL,11,2,2,8,4.0,0,12,62,5.2,2,0.0,20.0,0.0
Christian McCaffrey,RB,SF,11,5,5,25,5.0,1,21,78,3.7,0,0.0,18.8,0.0
Devin Singletary,RB,HOU,11,2,2,6,3.0,0,22,112,5.1,1,0.0,18.8,0.0
Joe Mixon,RB,CIN,11,5,5,31,6.2,1,16,69,4.3,0,0.0,18.5,0.0
Jahmyr Gibbs,RB,DET,11,6,6,59,9.8,0,8,36,4.5,1,0.0,18.5,0.0
D'Andre Swift,RB,PHI,11,3,3,31,10.3,0,12,76,6.3,1,0.0,18.2,0.0
James Cook,RB,BUF,11,3,4,29,9.7,1,17,73,4.3,0,0.0,17.7,0.0
David Montgomery,RB,DET,11,2,2,22,11.0,0,12,76,6.3,1,0.0,16.8,0.0
Brian Robinson Jr.,RB,WAS,11,7,9,58,8.3,0,17,73,4.3,0,0.0,16.6,0.0
Tony Pollard,RB,DAL,11,4,5,19,4.8,0,12,61,5.1,1,0.0,16.0,0.0
Breece Hall,RB,NYJ,11,5,6,50,10.0,1,10,23,2.3,0,0.0,15.8,0.0
Rachaad White,RB,TB,11,6,7,28,4.7,0,9,30,3.3,1,0.0,14.8,0.0
Ty Johnson,RB,BUF,11,3,3,47,15.7,1,3,11,3.7,0,0.0,13.3,0.0
Ty Chandler,RB,MIN,11,4,4,37,9.3,0,10,73,7.3,0,0.0,13.0,0.0
Jerome Ford,RB,CLE,11,2,5,8,4.0,0,12,31,2.6,1,0.0,10.9,0.0
Darrell Henderson Jr.,RB,LAR,11,4,7,28,7.0,0,6,1,0.2,1,0.0,10.9,0.0
Salvon Ahmed,RB,MIA,11,3,3,25,8.3,1,3,6,2.0,0,0.0,10.6,0.0
Samaje Perine,RB,DEN,11,7,7,60,8.6,0,1,7,7.0,0,0.0,10.2,0.0
Zach Charbonnet,RB,SEA,11,6,6,22,3.7,0,15,47,3.1,0,0.0,9.9,0.0
Raheem Mostert,RB,MIA,11,1,2,7,7.0,0,22,86,3.9,0,0.0,9.8,0.0
